vote_average,vote_count
5.1,495.0
6.4,1642.0
8.4,7684.0
7.5,120.0
5.7,9.0
5.4,8.0
5.9,892.0
7.4,28.0
6.4,159.0
6.9,115.0
7.7,3601.0
0.0,0.0
8.0,6332.0
5.5,452.0
7.3,4466.0
5.9,22.0
6.2,851.0
6.0,111.0
6.3,360.0
6.3,1751.0
5.2,612.0
5.8,511.0
0.0,0.0
5.0,15.0
5.7,313.0
5.5,52.0
7.1,117.0
6.6,1142.0
7.0,201.0
6.1,487.0
8.2,9660.0
7.1,427.0
5.8,2149.0
0.0,0.0
6.2,1404.0
6.3,1226.0
5.3,59.0
6.4,836.0
3.4,6.0
6.5,58.0
7.4,82.0
7.8,624.0
4.7,59.0
5.9,143.0
6.5,518.0
6.2,43.0
6.6,5630.0
7.7,7806.0
5.8,193.0
6.5,650.0
6.7,20.0
7.5,107.0
5.5,23.0
0.0,0.0
5.8,423.0
5.8,126.0
6.4,22.0
4.2,2588.0
6.5,47.0
6.0,66.0
7.4,5882.0
6.5,36.0
6.8,575.0
4.8,358.0
0.0,0.0
6.7,659.0
5.8,164.0
7.3,112.0
8.1,1272.0
6.2,3046.0
6.9,718.0
7.4,577.0
6.4,693.0
7.1,16.0
5.5,13.0
6.0,1006.0
6.9,13.0
6.7,565.0
6.0,40.0
5.2,360.0
6.4,131.0
5.8,128.0
6.5,999.0
6.7,423.0
0.0,0.0
5.2,363.0
7.5,932.0
6.6,401.0
7.4,693.0
6.3,154.0
7.9,9102.0
7.3,231.0
6.4,56.0
7.3,545.0
7.8,2877.0
5.7,3.0
5.9,65.0
6.3,8.0
5.8,255.0
6.5,167.0
5.9,111.0
7.8,5312.0
7.4,28.0
6.3,63.0
5.1,36.0
0.0,0.0
6.3,151.0
7.9,5369.0
6.4,91.0
6.3,18.0
6.2,485.0
5.3,196.0
6.6,2089.0
6.4,106.0
8.3,14128.0
5.5,177.0
6.0,18.0
5.8,1172.0
4.7,86.0
6.2,245.0
6.5,1872.0
7.4,3482.0
5.3,28.0
5.9,532.0
7.2,5456.0
6.8,75.0
5.5,22.0
6.5,511.0
4.1,324.0
0.0,0.0
6.6,248.0
5.5,88.0
7.0,17.0
6.3,2896.0
6.2,353.0
6.9,24.0
5.4,30.0
6.3,57.0
5.8,968.0
6.9,5947.0
0.0,0.0
6.6,712.0
5.8,182.0
4.6,103.0
7.5,201.0
5.6,85.0
5.0,365.0
6.8,4614.0
5.6,919.0
5.0,104.0
5.7,6.0
7.1,57.0
6.9,54.0
4.4,1364.0
7.0,21.0
6.2,700.0
5.5,25.0
4.8,13.0
4.9,251.0
0.0,0.0
6.6,41.0
4.5,21.0
6.6,190.0
7.5,1153.0
5.5,372.0
2.1,8.0
8.0,266.0
6.4,1313.0
6.9,213.0
7.4,1646.0
0.0,0.0
7.1,127.0
6.7,53.0
5.6,321.0
5.8,242.0
6.7,5284.0
4.8,159.0
4.5,2.0
7.3,2701.0
6.2,888.0
6.4,406.0
0.0,0.0
6.1,67.0
7.3,508.0
6.1,3835.0
6.8,4.0
6.9,70.0
6.8,11.0
8.0,10535.0
5.8,68.0
5.0,181.0
5.9,1105.0
5.4,137.0
5.8,30.0
6.4,45.0
7.0,25.0
4.4,15.0
5.9,353.0
4.8,71.0
6.7,1201.0
5.9,600.0
5.5,158.0
5.8,396.0
6.9,4425.0
5.4,122.0
5.6,125.0
6.8,46.0
5.3,281.0
6.0,95.0
6.5,528.0
5.3,250.0
7.6,4829.0
0.0,0.0
5.9,40.0
6.4,550.0
5.8,2190.0
7.0,149.0
6.6,403.0
6.2,43.0
8.0,25.0
7.8,83.0
5.7,97.0
5.4,18.0
6.7,1521.0
7.5,6.0
6.1,183.0
5.3,937.0
7.0,700.0
7.7,472.0
5.4,15.0
5.8,1260.0
6.2,12.0
6.4,70.0
0.0,0.0
6.2,1357.0
6.0,200.0
5.1,116.0
7.2,17.0
7.1,2703.0
6.2,169.0
6.6,56.0
5.6,64.0
7.5,432.0
6.4,69.0
6.1,48.0
6.1,557.0
6.8,5074.0
7.8,1715.0
6.1,1446.0
7.0,238.0
6.4,187.0
5.8,230.0
5.1,169.0
7.4,5.0
0.0,0.0
6.4,443.0
6.7,2807.0
5.6,30.0
7.9,1390.0
7.9,6.0
6.1,10.0
5.7,878.0
6.7,88.0
5.8,101.0
6.1,55.0
7.4,1138.0
7.8,5572.0
7.4,1247.0
5.1,379.0
6.4,5.0
6.4,479.0
6.3,790.0
5.7,181.0
5.0,348.0
6.6,1608.0
6.6,81.0
6.1,8.0
5.7,604.0
5.2,163.0
7.1,2480.0
0.0,0.0
6.5,4063.0
5.9,16.0
6.5,147.0
7.3,1736.0
5.5,61.0
7.2,10014.0
4.1,39.0
5.4,112.0
6.1,223.0
6.7,1234.0
0.0,0.0
7.4,2196.0
7.3,42.0
6.8,7424.0
5.2,24.0
6.4,366.0
5.8,377.0
5.0,31.0
6.1,44.0
6.6,1512.0
6.8,6.0
6.0,64.0
5.7,38.0
5.5,86.0
7.2,3389.0
0.0,0.0
6.2,748.0
5.1,99.0
6.2,1940.0
5.9,919.0
7.8,353.0
4.9,14.0
5.9,33.0
6.7,2503.0
7.5,2050.0
6.4,560.0
0.0,0.0
7.0,252.0
7.0,682.0
6.5,19.0
5.8,2036.0
7.4,10773.0
6.7,833.0
5.3,34.0
5.5,1543.0
6.6,327.0
6.5,1330.0
0.0,0.0
6.0,2708.0
5.4,39.0
6.7,76.0
6.0,135.0
7.1,53.0
6.6,10.0
6.8,345.0
7.4,9623.0
4.2,5.0
6.5,497.0
6.0,27.0
6.8,266.0
6.3,597.0
5.7,14.0
5.5,11.0
6.1,1662.0
4.7,64.0
7.2,3178.0
5.0,25.0
0.0,0.0
7.2,93.0
6.7,2560.0
6.4,909.0
6.4,20.0
5.1,46.0
5.7,527.0
7.4,17.0
5.8,697.0
8.2,9875.0
6.1,323.0
0.0,0.0
7.3,48.0
6.7,29.0
7.0,24.0
7.2,743.0
7.5,807.0
6.9,1060.0
6.2,353.0
6.0,874.0
5.7,215.0
5.1,802.0
7.6,26.0
5.2,30.0
6.1,693.0
7.5,470.0
5.4,48.0
6.3,226.0
5.8,264.0
7.5,730.0
5.3,435.0
0.0,0.0
7.5,3805.0
7.1,417.0
6.7,113.0
6.7,1225.0
6.8,787.0
6.2,1423.0
6.0,2.0
6.2,18.0
4.9,223.0
6.0,1600.0
5.8,285.0
7.2,132.0
6.1,49.0
5.7,1147.0
6.2,253.0
5.9,126.0
6.9,137.0
